@relation mfeat-weka.filters.unsupervised.instance.RemovePercentage-P33.0

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.214111,0.623635,0.186233,0.484788,0.355237,0.255838,0.46491,0.256177,0.371956,0.294023,0.046008,0.076111,0.201277,0.23398,0.107566,0.144003,0.187977,0.192446,0.085221,0.111572,0.136172,0.03258,0.099978,0.211527,0.08391,0.00983,0.199206,0.120556,0.087994,0.037094,0.15517,0.061121,0.074244,0.150845,0.154667,0.051321,0.128469,0.142376,0.035233,0.058686,0.175566,0.067591,0.047587,0.066619,0.093938,0.033653,0.166905,0.097944,0.038058,0.166852,0.126269,0.167205,0.112096,0.14659,0.202616,0.096439,0.161149,0.190483,0.107713,0.139897,0.216218,0.221679,0.168201,0.046572,0.197178,0.227569,0.140167,0.07715,0.260247,0.163962,0.029093,0.068541,0.232689,0.3718,0.239992,0.261683,4
0.262695,0.553969,0.248181,0.32668,0.261565,0.305825,0.444301,0.418617,0.241006,0.324438,0.179078,0.01365,0.269103,0.222562,0.226014,0.12093,0.074624,0.208022,0.044582,0.177016,0.107534,0.115663,0.091501,0.067628,0.219103,0.116096,0.034506,0.084657,0.042079,0.147005,0.027524,0.065413,0.082854,0.083701,0.177284,0.065278,0.032861,0.062225,0.07349,0.101346,0.023703,0.057325,0.066613,0.077557,0.161039,0.075521,0.024423,0.10249,0.216267,0.15486,0.025092,0.062996,0.138266,0.08935,0.030325,0.059022,0.234058,0.08196,0.013562,0.066917,0.216061,0.109572,0.050955,0.124947,0.14093,0.087952,0.08034,0.085227,0.24239,0.119082,0.14557,0.155037,0.236729,0.199569,0.187905,0.190354,4
0.173664,0.267426,0.376508,0.172514,0.205644,0.079258,0.409017,0.385934,0.209045,0.12602,0.063129,0.145422,0.07681,0.160804,0.110949,0.045147,0.066395,0.068569,0.098625,0.13974,0.088534,0.076993,0.060935,0.063273,0.133118,0.098949,0.069186,0.047701,0.082994,0.11625,0.0911,0.03948,0.034212,0.102831,0.124223,0.097663,0.031936,0.067441,0.097532,0.115502,0.115669,0.049871,0.052626,0.069792,0.123385,0.072846,0.085169,0.021139,0.139912,0.062529,0.107352,0.020365,0.143237,0.074514,0.089326,0.083278,0.141002,0.055425,0.074411,0.11962,0.173049,0.056549,0.052203,0.074915,0.204956,0.089534,0.088367,0.02261,0.169989,0.172261,0.167442,0.054726,0.178931,0.250321,0.177311,0.171629,4
0.278137,0.587105,0.261204,0.337624,0.09843,0.204083,0.495771,0.417237,0.351887,0.18965,0.122068,0.151664,0.185403,0.131804,0.162144,0.138703,0.113778,0.199369,0.123707,0.139064,0.105947,0.165531,0.064777,0.072983,0.156937,0.164591,0.140655,0.062654,0.025909,0.125931,0.161566,0.081057,0.080275,0.126742,0.113114,0.07317,0.032493,0.134056,0.098795,0.144632,0.082426,0.098209,0.090029,0.024713,0.141777,0.135492,0.087638,0.050115,0.119151,0.063281,0.026157,0.047838,0.132056,0.035768,0.028036,0.008519,0.088522,0.064852,0.075346,0.064605,0.046411,0.090989,0.033908,0.057678,0.146873,0.182333,0.185298,0.152734,0.203617,0.151069,0.125498,0.02402,0.127862,0.064216,0.088864,0.149716,4
0.175283,0.568299,0.08119,0.334667,0.261106,0.359014,0.379532,0.392625,0.246679,0.270196,0.258168,0.047525,0.267779,0.212794,0.209457,0.137898,0.103414,0.17455,0.219317,0.211058,0.143586,0.076349,0.126055,0.133141,0.131866,0.165156,0.075346,0.058908,0.170566,0.112277,0.092781,0.057768,0.074072,0.152277,0.115834,0.09285,0.065375,0.03099,0.150459,0.088294,0.061108,0.063714,0.009027,0.117117,0.096649,0.087436,0.04548,0.089088,0.135491,0.079433,0.030751,0.138127,0.136942,0.08614,0.024619,0.110035,0.144594,0.061408,0.059487,0.131493,0.145317,0.118988,0.048826,0.085861,0.09402,0.085519,0.058451,0.19746,0.203919,0.074163,0.089974,0.168958,0.274411,0.176494,0.307267,0.249352,4
0.251973,0.549647,0.330783,0.297086,0.24236,0.216064,0.545932,0.27845,0.278657,0.363453,0.039485,0.029426,0.236008,0.212338,0.098607,0.035371,0.265458,0.147963,0.025127,0.133772,0.103948,0.096094,0.078986,0.129033,0.108143,0.103028,0.118663,0.117989,0.059929,0.075153,0.055503,0.08936,0.077275,0.060107,0.054896,0.133185,0.032832,0.052682,0.071975,0.091699,0.054212,0.036511,0.108357,0.043918,0.021207,0.057916,0.138717,0.096502,0.065179,0.133943,0.091383,0.222226,0.103106,0.074278,0.220479,0.068176,0.056715,0.185674,0.071666,0.140754,0.178582,0.233494,0.237712,0.059081,0.154195,0.080286,0.098145,0.01607,0.212471,0.285839,0.171553,0.055363,0.201509,0.156592,0.210271,0.093876,4
0.307703,0.434211,0.111459,0.346796,0.568781,0.324189,0.375202,0.265112,0.138386,0.227595,0.255763,0.281557,0.360584,0.086692,0.36156,0.282001,0.12317,0.219493,0.187112,0.198179,0.209388,0.107463,0.114066,0.237457,0.231428,0.123044,0.023465,0.159677,0.302434,0.238955,0.168914,0.055603,0.071346,0.154357,0.254918,0.161511,0.064152,0.052558,0.12425,0.19102,0.149834,0.046832,0.106242,0.061364,0.179373,0.122205,0.033132,0.085195,0.201522,0.117713,0.057599,0.094689,0.242257,0.105464,0.022564,0.081174,0.237939,0.111,0.083534,0.083705,0.203858,0.034727,0.140944,0.129091,0.300428,0.158741,0.035663,0.117849,0.10173,0.188496,0.163221,0.081826,0.219231,0.284982,0.136952,0.330917,4
0.296601,0.47216,0.32566,0.229996,0.289119,0.328237,0.435485,0.266079,0.101685,0.333812,0.170497,0.108382,0.394918,0.159528,0.213885,0.251984,0.162363,0.142611,0.179089,0.26478,0.105978,0.066848,0.203047,0.017932,0.16067,0.158126,0.135349,0.137817,0.095232,0.229649,0.102513,0.045723,0.204459,0.037247,0.14991,0.154999,0.08262,0.111218,0.079301,0.162506,0.084123,0.051225,0.165099,0.00644,0.070282,0.113066,0.130432,0.104241,0.104708,0.130273,0.114078,0.068461,0.094857,0.098742,0.120771,0.127369,0.141774,0.126717,0.137945,0.036643,0.074019,0.083791,0.137228,0.179887,0.1886,0.076979,0.058269,0.072748,0.152059,0.133809,0.059588,0.187394,0.087763,0.209642,0.257439,0.211942,4
0.328931,0.468374,0.228891,0.242019,0.179302,0.375354,0.356901,0.337351,0.050131,0.292786,0.247216,0.172172,0.287645,0.355228,0.169442,0.096363,0.176611,0.103135,0.115822,0.173837,0.120618,0.102064,0.137257,0.115543,0.130437,0.121686,0.050164,0.104826,0.060412,0.118384,0.143143,0.083634,0.045916,0.07787,0.104288,0.122047,0.15486,0.051141,0.04601,0.100421,0.070915,0.098717,0.035418,0.046363,0.077024,0.067895,0.034326,0.058949,0.095808,0.048742,0.029231,0.0988,0.118911,0.035104,0.040506,0.107347,0.130726,0.103753,0.083191,0.106349,0.139277,0.088543,0.033642,0.09448,0.112309,0.080355,0.149481,0.180477,0.253424,0.093586,0.059654,0.028589,0.151272,0.187428,0.290982,0.244798,4
0.33197,0.511764,0.310676,0.254177,0.294183,0.38907,0.345086,0.318322,0.04622,0.349321,0.164462,0.146905,0.417276,0.221295,0.163419,0.282188,0.060239,0.077842,0.272075,0.257133,0.057775,0.088534,0.206472,0.075849,0.147056,0.182603,0.132459,0.096746,0.196967,0.247467,0.065426,0.028069,0.210601,0.102798,0.131953,0.120137,0.127954,0.096531,0.167026,0.188805,0.038221,0.057512,0.205766,0.111361,0.15353,0.076882,0.09073,0.031316,0.167294,0.10616,0.016788,0.072116,0.151763,0.076498,0.076021,0.057736,0.228558,0.110949,0.023168,0.068953,0.102378,0.105874,0.035974,0.06583,0.208211,0.066286,0.068834,0.062814,0.167517,0.183437,0.108868,0.058753,0.161686,0.21042,0.255829,0.292769,4
0.30319,0.548239,0.286491,0.292544,0.15115,0.321992,0.337267,0.379187,0.170175,0.296832,0.300578,0.075707,0.108149,0.255802,0.165698,0.111101,0.190039,0.211979,0.113788,0.144683,0.122965,0.178539,0.062744,0.044518,0.11232,0.147783,0.14021,0.1756,0.161162,0.04614,0.120744,0.100256,0.140964,0.05867,0.084495,0.112217,0.151734,0.127434,0.12481,0.107188,0.069464,0.120035,0.041152,0.141278,0.041514,0.08582,0.049434,0.022509,0.067716,0.026739,0.074302,0.053048,0.091898,0.052823,0.033664,0.069703,0.136717,0.151444,0.079374,0.077972,0.094995,0.080906,0.028957,0.101468,0.143413,0.109542,0.13995,0.156262,0.255715,0.122603,0.075087,0.048196,0.106377,0.148969,0.199255,0.239228,4
0.253996,0.43425,0.361785,0.177979,0.145074,0.197738,0.290068,0.470695,0.156959,0.100961,0.103339,0.181009,0.116239,0.130777,0.121088,0.128127,0.089018,0.00875,0.100532,0.125582,0.160581,0.038774,0.107043,0.042068,0.135627,0.129984,0.015501,0.1272,0.045438,0.150289,0.068843,0.03316,0.105038,0.073693,0.164001,0.062298,0.084498,0.061377,0.04441,0.154359,0.094776,0.105226,0.030497,0.008894,0.113521,0.113253,0.03336,0.035356,0.098354,0.091833,0.027207,0.035718,0.091175,0.063507,0.091143,0.113243,0.147505,0.098282,0.146853,0.150105,0.223302,0.147351,0.115155,0.071272,0.237745,0.088,0.023799,0.050183,0.147833,0.073866,0.157714,0.101187,0.08512,0.179795,0.144452,0.080608,4
0.083929,0.464145,0.339606,0.259109,0.14669,0.247077,0.121264,0.490653,0.095672,0.2047,0.047285,0.042444,0.087904,0.206366,0.070953,0.030709,0.159682,0.124014,0.083804,0.129858,0.103015,0.12602,0.011301,0.061026,0.04387,0.042997,0.061229,0.025423,0.093648,0.029847,0.065467,0.076996,0.018654,0.07222,0.037096,0.055626,0.046039,0.025108,0.076708,0.045789,0.057692,0.028261,0.029469,0.054818,0.082307,0.139197,0.142649,0.092055,0.093092,0.133452,0.124045,0.072148,0.09177,0.176326,0.138701,0.020471,0.186806,0.201616,0.097561,0.006096,0.173015,0.186346,0.081682,0.082051,0.21228,0.120323,0.128814,0.048697,0.184481,0.133915,0.076839,0.207047,0.252795,0.215517,0.24875,0.019422,4
0.307131,0.619494,0.328897,0.38542,0.055869,0.260715,0.340858,0.466668,0.141173,0.110947,0.178162,0.169494,0.081117,0.158209,0.12486,0.115367,0.087511,0.234509,0.169041,0.101019,0.046236,0.096237,0.214341,0.115894,0.092152,0.060891,0.127051,0.097759,0.106819,0.063479,0.11667,0.101269,0.057771,0.149374,0.017551,0.108775,0.051457,0.099572,0.144022,0.088356,0.0783,0.047965,0.10108,0.068979,0.044245,0.08506,0.033822,0.083514,0.072376,0.026529,0.03412,0.045827,0.118715,0.047596,0.085588,0.038353,0.117707,0.09068,0.118049,0.090787,0.037588,0.07828,0.005259,0.047632,0.074727,0.136657,0.095794,0.107948,0.130719,0.195862,0.205949,0.221659,0.070837,0.19091,0.148861,0.213587,4
0.119442,0.289233,0.182603,0.282774,0.221078,0.349515,0.47539,0.376619,0.093296,0.207584,0.149628,0.115132,0.187014,0.142578,0.029202,0.176102,0.152166,0.044485,0.028684,0.136785,0.168345,0.15236,0.158831,0.087905,0.049073,0.151081,0.153038,0.091188,0.103723,0.072242,0.103149,0.162955,0.13394,0.102117,0.083599,0.099298,0.130867,0.124797,0.124001,0.108802,0.07121,0.12682,0.130175,0.137138,0.085902,0.087744,0.033039,0.044644,0.089011,0.048234,0.061903,0.05586,0.118363,0.036152,0.068868,0.077669,0.086601,0.10692,0.030683,0.095095,0.086805,0.09697,0.075494,0.035783,0.137729,0.081225,0.043729,0.169287,0.102916,0.247686,0.049031,0.049362,0.183208,0.189612,0.266245,0.177004,4
0.300443,0.617896,0.302261,0.432289,0.290172,0.277747,0.484147,0.300334,0.383505,0.298225,0.079192,0.120478,0.295285,0.201019,0.155306,0.21131,0.190713,0.087021,0.039605,0.166136,0.18361,0.133168,0.150066,0.127968,0.148742,0.100635,0.210763,0.098153,0.069705,0.131616,0.203789,0.106796,0.0852,0.0923,0.168656,0.143493,0.202979,0.100584,0.091848,0.090438,0.191478,0.173409,0.080219,0.053059,0.12251,0.048238,0.078143,0.033526,0.073782,0.085167,0.026053,0.087402,0.139073,0.066597,0.062443,0.034044,0.178105,0.117467,0.07447,0.125656,0.110618,0.13665,0.067692,0.084773,0.192398,0.038355,0.05399,0.086767,0.204459,0.230752,0.126466,0.207137,0.138624,0.205493,0.126053,0.106554,4
